title,publish_date,text,rank
Latest Bitcoin News,,"[{'summary_text': 'Bitcoin is the first peer-to-peer digital currency, also known as Bitcoin . It is famous for its decentralized transactions, meaning there is no central governing body operating it . Get to know more about “Bitcoin mining” and its circulation tendencies by dedicating some time for the most important Bitcoin News on a daily basis .'}]",neutral
Latest Ethereum News,,"[{'summary_text': 'Ethereum News is the largest open-source, blockchain based platform for decentralised applications . It serves as digital currency and can be traded like any other cryptocurrency . You can find out more about Ethereum News in Ethereum News today .'}]",neutral
Latest DeFi News,,"[{'summary_text': 'DeFi, or decentralized finance, is one of the biggest things in the blockchain and cryptocurrency industry . It uses blockchains, smart contracts and/or cryptoassets to deliver financial services to customers .'}]",neutral
Breaking Altcoin News Today,,[{'summary_text': 'Take a look at the list of the most important Altcoin News . It is an alternative cryptocurrency to Bitcoin . The name is already self-explanatory: “alt” stands for alternative and “coin” is a typical title .'}],neutral
Blockchain Altcoin News,,"[{'summary_text': 'In Blockchain News you can find useful insights about what is going in the digital currencies market . It’s constantly changing because of the nature of blockchain technology, which is linked in transaction batches . In the Blockchain News today section everyone can read more about how the software is evolving worldwide .'}]",neutral
Press Releases,,[{'summary_text': 'crypto users had been keenly eyeing the launch of Ethereum (ETH) exchange-traded funds (ETFs) throughout 2023 . their rollout has been slower than many analysts expected .'}],negative
Crypto super PAC network goes into 2024 with more than $75 million as it aims to influence election,2023-12-18 00:00:00,[{'summary_text': 'Three allied political action committees funded by leaders of the cryptocurrency industry will start 2024 with a combined $78 million . The massive amount of cash that the PACs are prepared to use in support of likely pro-crypto candidates running for seats in both the House and Senate . the industry lost one of its top givers}],positive
"Binance founder Changpeng Zhao is too rich to leave the U.S. before criminal sentencing, judge says",2023-12-08 00:00:00,"[{'summary_text': 'Billionaire Binance founder Changpeng Zhao cannot leave the United States ahead of sentencing . The ruling reverses a previous decision allowing Zhao to travel to his home in the United Arab Emirates . ""The defendant has enormous wealth and property abroad,"" Judge Richard Jones writes .'}]",neutral
Bitcoin hovers at 21-month high ahead of imminent spot ETF decision by SEC: CNBC Crypto World,2024-01-09 00:00:00,"[{'summary_text': "" Mark Connors and eToro's Callie Cox discuss what could happen to crypto markets once a decision on spot bitcoin ETFs is revealed .""}]",neutral
Bitcoin touches highest level in nearly two years as deadline for spot ETFs looms: CNBC Crypto World,2024-01-08 00:00:00,[{'summary_text': 'Ben McMillan breaks down what a spot bitcoin ETF in the U.S. could mean for retail investors .'}],neutral
Bitcoin dips 1.5% ahead of next week's expected decision on spot ETF: CNBC Crypto World,2024-01-05 00:00:00,"[{'summary_text': ""Bitcoin dips 1.5% ahead of next week's expected decision on spot ETF. Noelle Acheson discusses what was behind crypto's turbulent start to 2024 .""}]",negative
"Bitcoin touches $47,000 for the first time since April 2022 as investors brace for landmark ETF decision",2024-01-08 00:00:00,"[{'summary_text': 'Bitcoin rose to a 21-month high to start the week as investors await approval of a U.S. bitcoin exchange-traded fund . On Monday, the cryptocurrency was last higher by more than 6% to $46,924.38, according to Coin Metrics . The last time it traded over $47,000 was April 2022 .'}]",very positive
